Wed Mar 18 06:05:01 PDT 2020 - start
* # of countries 152
89/153 - Senegal - last value from 2020-3-17 with 26 cases, 0 deaths, 2 recovered, 24 active cases.
90/153 - Bosnia and Herzegovina - last value from 2020-3-17 with 26 cases, 0 deaths, 2 recovered, 24 active cases.
91/153 - Lithuania - last value from 2020-3-17 with 25 cases, 0 deaths, 1 recovered, 24 active cases.
92/153 - Oman - last value from 2020-3-17 with 24 cases, 0 deaths, 9 recovered, 15 active cases.
93/153 - Tunisia - last value from 2020-3-17 with 24 cases, 0 deaths, 0 recovered, 24 active cases.
94/153 - Afghanistan - last value from 2020-3-17 with 22 cases, 0 deaths, 1 recovered, 21 active cases.
95/153 - Dominican Republic - last value from 2020-3-17 with 21 cases, 1 deaths, 0 recovered, 20 active cases.
96/153 - Martinique - last value from 2020-3-17 with 16 cases, 1 deaths, 0 recovered, 15 active cases.
97/153 - Burkina Faso - last value from 2020-3-17 with 15 cases, 0 deaths, 0 recovered, 15 active cases.
98/153 - Ukraine - last value from 2020-3-17 with 14 cases, 2 deaths, 0 recovered, 12 active cases.
99/153 - Maldives - last value from 2020-3-17 with 13 cases, 0 deaths, 0 recovered, 13 active cases.
100/153 - New Zealand - last value from 2020-3-17 with 12 cases, 0 deaths, 0 recovered, 12 active cases.
101/153 - Jamaica - last value from 2020-3-17 with 12 cases, 0 deaths, 2 recovered, 10 active cases.
102/153 - Bolivia - last value from 2020-3-17 with 11 cases, 0 deaths, 0 recovered, 11 active cases.
103/153 - Cameroon - last value from 2020-3-17 with 10 cases, 0 deaths, 0 recovered, 10 active cases.
104/153 - Bangladesh - last value from 2020-3-17 with 10 cases, 0 deaths, 3 recovered, 7 active cases.
105/153 - Uzbekistan - last value from 2020-3-17 with 10 cases, 0 deaths, 0 recovered, 10 active cases.
106/153 - Paraguay - last value from 2020-3-17 with 9 cases, 0 deaths, 0 recovered, 9 active cases.
107/153 - Honduras - last value from 2020-3-17 with 8 cases, 0 deaths, 0 recovered, 8 active cases.
108/153 - Monaco - last value from 2020-3-17 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
109/153 - Liechtenstein - last value from 2020-3-17 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
110/153 - Guyana - last value from 2020-3-17 with 7 cases, 1 deaths, 0 recovered, 6 active cases.
111/153 - Ghana - last value from 2020-3-17 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
112/153 - Rwanda - last value from 2020-3-17 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
113/153 - Guatemala - last value from 2020-3-17 with 6 cases, 1 deaths, 0 recovered, 5 active cases.
114/153 - Mongolia - last value from 2020-3-17 with 5 cases, 0 deaths, 0 recovered, 5 active cases.
115/153 - Cote d'Ivoire - last value from 2020-3-17 with 5 cases, 0 deaths, 1 recovered, 4 active cases.
116/153 - Cuba - last value from 2020-3-17 with 5 cases, 0 deaths, 0 recovered, 5 active cases.
117/153 - Ethiopia - last value from 2020-3-17 with 5 cases, 0 deaths, 0 recovered, 5 active cases.
118/153 - Trinidad and Tobago - last value from 2020-3-17 with 5 cases, 0 deaths, 0 recovered, 5 active cases.
119/153 - Seychelles - last value from 2020-3-17 with 4 cases, 0 deaths, 0 recovered, 4 active cases.
120/153 - Nigeria - last value from 2020-3-17 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
121/153 - Congo (Kinshasa) - last value from 2020-3-17 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
122/153 - Aruba - last value from 2020-3-17 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
123/153 - Kenya - last value from 2020-3-17 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
124/153 - Jersey - last value from 2020-3-17 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
125/153 - Namibia - last value from 2020-3-17 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
126/153 - Saint Lucia - last value from 2020-3-17 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
127/153 - Kosovo - last value from 2020-3-17 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
128/153 - Barbados - last value from 2020-3-17 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
129/153 - Montenegro - last value from 2020-3-17 with 2 cases, 0 deaths, 0 recovered, 2 active cases.
130/153 - Nepal - last value from 2020-3-17 with 1 cases, 0 deaths, 1 recovered, 0 active cases.
131/153 - Bhutan - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
132/153 - Togo - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
133/153 - Holy See - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
134/153 - Sudan - last value from 2020-3-17 with 1 cases, 1 deaths, 0 recovered, 0 active cases.
135/153 - Guinea - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
136/153 - Antigua and Barbuda - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
137/153 - Eswatini - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
138/153 - Gabon - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
139/153 - Guernsey - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
140/153 - Mauritania - last value from 2020-3-17 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
