Thu Mar 19 12:05:01 PDT 2020 - start
* # of countries 152
84/153 - Malta - last value from 2020-3-18 with 38 cases, 0 deaths, 2 recovered, 36 active cases.
85/153 - Venezuela - last value from 2020-3-18 with 36 cases, 0 deaths, 0 recovered, 36 active cases.
86/153 - Cambodia - last value from 2020-3-18 with 35 cases, 0 deaths, 1 recovered, 34 active cases.
87/153 - North Macedonia - last value from 2020-3-18 with 35 cases, 0 deaths, 1 recovered, 34 active cases.
88/153 - Kazakhstan - last value from 2020-3-18 with 35 cases, 0 deaths, 0 recovered, 35 active cases.
89/153 - Senegal - last value from 2020-3-18 with 31 cases, 0 deaths, 2 recovered, 29 active cases.
90/153 - Moldova - last value from 2020-3-18 with 30 cases, 1 deaths, 1 recovered, 28 active cases.
91/153 - Tunisia - last value from 2020-3-18 with 29 cases, 0 deaths, 0 recovered, 29 active cases.
92/153 - Azerbaijan - last value from 2020-3-18 with 28 cases, 1 deaths, 6 recovered, 21 active cases.
93/153 - Liechtenstein - last value from 2020-3-18 with 28 cases, 0 deaths, 0 recovered, 28 active cases.
94/153 - Lithuania - last value from 2020-3-18 with 27 cases, 0 deaths, 1 recovered, 26 active cases.
95/153 - Afghanistan - last value from 2020-3-18 with 22 cases, 0 deaths, 1 recovered, 21 active cases.
96/153 - Dominican Republic - last value from 2020-3-18 with 21 cases, 1 deaths, 0 recovered, 20 active cases.
97/153 - New Zealand - last value from 2020-3-18 with 20 cases, 0 deaths, 0 recovered, 20 active cases.
98/153 - Burkina Faso - last value from 2020-3-18 with 20 cases, 1 deaths, 0 recovered, 19 active cases.
99/153 - Martinique - last value from 2020-3-18 with 19 cases, 1 deaths, 0 recovered, 18 active cases.
100/153 - Uzbekistan - last value from 2020-3-18 with 15 cases, 0 deaths, 0 recovered, 15 active cases.
101/153 - Ukraine - last value from 2020-3-18 with 14 cases, 2 deaths, 0 recovered, 12 active cases.
102/153 - Bangladesh - last value from 2020-3-18 with 14 cases, 1 deaths, 3 recovered, 10 active cases.
103/153 - Maldives - last value from 2020-3-18 with 13 cases, 0 deaths, 0 recovered, 13 active cases.
104/153 - Jamaica - last value from 2020-3-18 with 13 cases, 0 deaths, 2 recovered, 11 active cases.
105/153 - Bolivia - last value from 2020-3-18 with 12 cases, 0 deaths, 0 recovered, 12 active cases.
106/153 - Paraguay - last value from 2020-3-18 with 11 cases, 0 deaths, 0 recovered, 11 active cases.
107/153 - Cameroon - last value from 2020-3-18 with 10 cases, 0 deaths, 0 recovered, 10 active cases.
108/153 - Honduras - last value from 2020-3-18 with 9 cases, 0 deaths, 0 recovered, 9 active cases.
109/153 - Nigeria - last value from 2020-3-18 with 8 cases, 0 deaths, 1 recovered, 7 active cases.
110/153 - Rwanda - last value from 2020-3-18 with 8 cases, 0 deaths, 0 recovered, 8 active cases.
111/153 - Monaco - last value from 2020-3-18 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
112/153 - Cuba - last value from 2020-3-18 with 7 cases, 1 deaths, 0 recovered, 6 active cases.
113/153 - Guyana - last value from 2020-3-18 with 7 cases, 1 deaths, 0 recovered, 6 active cases.
114/153 - Ghana - last value from 2020-3-18 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
115/153 - Trinidad and Tobago - last value from 2020-3-18 with 7 cases, 0 deaths, 0 recovered, 7 active cases.
116/153 - Mongolia - last value from 2020-3-18 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
117/153 - Cote d'Ivoire - last value from 2020-3-18 with 6 cases, 0 deaths, 1 recovered, 5 active cases.
118/153 - Ethiopia - last value from 2020-3-18 with 6 cases, 0 deaths, 0 recovered, 6 active cases.
119/153 - Guatemala - last value from 2020-3-18 with 6 cases, 1 deaths, 0 recovered, 5 active cases.
120/153 - Congo (Kinshasa) - last value from 2020-3-18 with 4 cases, 0 deaths, 0 recovered, 4 active cases.
121/153 - Seychelles - last value from 2020-3-18 with 4 cases, 0 deaths, 0 recovered, 4 active cases.
122/153 - Equatorial Guinea - last value from 2020-3-18 with 4 cases, 0 deaths, 0 recovered, 4 active cases.
123/153 - Kenya - last value from 2020-3-18 with 3 cases, 0 deaths, 0 recovered, 3 active cases.
